Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C_Polarized","C_0201_0603Metric",151.345000,-73.500000,0.000000,top
"J1","Conn_01x05_Socket","JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical",146.000000,-122.500000,180.000000,top
"J2","Conn_01x05_Socket","JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical",148.000000,-78.000000,0.000000,top
"J3","Conn_01x04_Socket","JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical",158.500000,-122.500000,180.000000,top
"J4","Conn_01x04_Pin","JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical",135.500000,-78.000000,0.000000,top
"R1","9.1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",149.000000,-103.500000,0.000000,top
"R2","9.1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",149.000000,-100.000000,0.000000,top
"R3","9.1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",149.000000,-97.000000,0.000000,top
"SW1","SW_DIP_x03","SW_DIP_SPSTx03_Slide_6.7x9.18mm_W8.61mm_P2.54mm_LowProfile",140.195000,-100.040000,0.000000,top
"U1","PCF8575DBR","SSOP-24_5.3x8.2mm_P0.65mm",156.500000,-100.000000,0.000000,top
"U2","ULN2003A","DIP-16_W7.62mm",158.740000,-108.380000,-90.000000,top
"U3","ULN2003A","DIP-16_W7.62mm",135.610000,-92.305000,90.000000,top
"U4","A1104xLH","PinHeader_1x03_P1.00mm_Vertical",135.500000,-112.000000,0.000000,top
"U5","A1104xLH","PinHeader_1x03_P1.00mm_Vertical",159.000000,-89.500000,180.000000,top
